gasoline,liquidtotal,coke
0.437867794,0.833739697,0.080652464
0.439449515,0.831659257,0.08247234
0.444940151,0.842105733,0.071067214
0.457271246,0.853244683,0.060075394
0.46779502,0.861576965,0.052150273
0.473983448,0.86377285,0.050594431
0.475119122,0.86742716,0.049491385
0.471839543,0.87044906,0.048720463
0.469705191,0.87432594,0.046659133
0.46674081,0.869093206,0.05123216
0.468837195,0.867164059,0.052793246
0.46870871,0.864383599,0.055912805
0.468444988,0.871971131,0.049160429
0.463285205,0.872793154,0.049122203
0.455880512,0.862255616,0.059792055
0.449982811,0.849997456,0.071569919
0.449690688,0.847558968,0.072960805
0.451318107,0.850489389,0.069608502
0.450661321,0.847033697,0.072802509
0.447930136,0.837678197,0.082143135
0.449748277,0.838046153,0.082008856
0.455847761,0.841293002,0.079230438
0.461723408,0.852876376,0.06615764
0.463310348,0.855605459,0.059019337
0.461335066,0.860203781,0.049195894
0.457712457,0.850855012,0.05566533
0.45763885,0.84637619,0.059431164
0.455440485,0.835238875,0.070982017
0.455296593,0.835304299,0.070661514
0.452328985,0.832683502,0.073256997
0.450664117,0.827917303,0.077581908
0.44595596,0.819236482,0.085982564
0.443400289,0.813925976,0.091661462
0.444257398,0.814691337,0.091108064
0.447615082,0.818932489,0.086488114
0.452615799,0.828874493,0.078394934
0.456794836,0.842965245,0.06645315
0.462004847,0.85548138,0.057512678
0.465416459,0.853743219,0.059750262
0.465906376,0.853854972,0.058922014
0.465076501,0.850556744,0.060290568
0.461852054,0.856213078,0.056068118
0.457137861,0.856001259,0.057843088
0.453510846,0.856799796,0.059978974
0.451225017,0.858533854,0.05833574
0.450324654,0.852002754,0.065814896
0.447462216,0.845644771,0.071257124
0.444735395,0.836360279,0.080152477
0.443562402,0.836691515,0.078985619
0.444665585,0.83918393,0.07675017
0.444499398,0.842324706,0.073452636
0.443123996,0.842051163,0.073454573
0.44244418,0.836658191,0.078538569
0.445296278,0.832589091,0.08176541
0.448716151,0.831979279,0.082426953
0.451245715,0.838529792,0.075429196
0.451830776,0.844635317,0.069681553
0.451438382,0.846872204,0.066918404
0.449103214,0.8450019,0.069051609
0.447539858,0.839749219,0.074020606
0.448169643,0.843866716,0.070363772
0.44952332,0.847005885,0.065336804
0.449178789,0.854421442,0.055999078
0.445449245,0.854116973,0.054356265
0.441103553,0.855716786,0.052770071
0.438560978,0.849908211,0.058947542
0.438899205,0.84494722,0.064441868
0.442559019,0.845904745,0.063606868
0.447909803,0.851681566,0.057766931
0.449865175,0.857799876,0.04994606
0.453316968,0.862428108,0.0457025
0.456000598,0.872253506,0.035616114
0.465095912,0.885113023,0.022864715
0.466208923,0.888952943,0.017936973
0.464055086,0.88085988,0.02394038
0.458332357,0.873506034,0.031107249
0.457087256,0.871912393,0.032734882
0.455919744,0.872136126,0.034196111
0.457526218,0.869042921,0.037380796
0.460267264,0.870713005,0.033069588
0.466254298,0.881831723,0.018807767
0.469066407,0.889764046,0.008753446
0.467933526,0.885102936,0.014653148
0.461905924,0.871486283,0.031281097
0.456575051,0.8607121,0.044411098
0.457051008,0.857912688,0.048809265
0.462942818,0.864885968,0.042858973
0.469819407,0.875550748,0.033629132
0.473992996,0.883394868,0.026489078
0.47413393,0.882875344,0.027046186
0.470150542,0.874328147,0.036275484
0.4645184,0.869129293,0.042149553
0.461341872,0.862805632,0.048689235
0.459358832,0.865603651,0.045401705
0.455545746,0.867357511,0.043613261
0.452368144,0.869573283,0.040499009
0.451720087,0.862517744,0.047250237
0.453841268,0.85844142,0.051600828
